0;-0.01170;0.50875;0.45278;0.08335;0.73000;835;
1;-0.12561;0.69027;0.68408;-0.32296;0.89898;1597;
2;-0.21821;0.62957;0.36668;-0.38042;0.53464;1527;
3;-0.23031;0.77185;0.71597;-0.16390;0.94957;3687;
4;-0.30889;0.66127;0.58156;-0.41302;0.68924;1935;
5;-0.17116;0.63087;0.54122;-0.24125;0.74042;1367;
6;-0.10127;0.66294;0.60039;-0.19826;0.79347;9120;
7;-0.13429;0.69195;0.69699;-0.32653;0.90231;4362;
8;-0.07490;0.69200;0.66097;-0.30848;0.93264;1622;
9;-0.46392;0.69224;0.58896;-0.35013;0.71574;2745;
10;-0.12794;0.62716;0.91098;-0.30047;0.53880;2457;
11;-0.00880;0.63199;0.46576;-0.11940;0.69566;1742;
12;-0.21239;0.60986;0.49518;-0.39727;0.79461;2927;
13;-0.21239;0.71986;0.49518;-0.17727;0.79461;867;
14;-0.09702;0.64870;0.79137;-0.18840;0.78401;5067;
15;-0.02973;0.62331;0.31548;-0.21651;0.80496;2170;
16;-0.39252;0.67683;0.52125;-0.63367;0.79089;4252;
17;-0.12425;0.68958;0.72349;-0.48019;0.81442;1632;
18;-0.44111;0.74378;0.48310;-0.68273;0.72186;3802;
19;-0.13906;0.85322;0.55388;-0.43908;0.73128;1565;
20;-0.41048;0.67987;0.54013;-0.48433;0.72681;4132;
21;-0.24738;0.62223;0.50312;-0.43325;0.78263;4097;
22;-0.19713;0.61209;0.50888;0.02012;0.74374;5932;
23;-0.07619;0.68735;0.72019;-0.32978;0.94569;1810;
24;-0.41668;0.68540;0.55831;-0.45529;0.70391;2602;
25;-0.12926;0.61951;0.65695;-0.29698;0.59869;1682;
