0;-0.19939;0.59017;1.00000;-0.27916;0.86935;1057;
1;0.12355;0.34702;0.21828;-0.41133;-0.55998;147;
2;-0.22020;0.64782;0.93884;-0.30505;0.96023;4550;
3;-0.22020;0.64782;0.93884;-0.30505;0.96023;1642;
4;0.37011;0.12237;0.28516;-0.07679;0.31209;2575;
5;-0.12941;0.56700;0.83830;-0.26994;0.86054;1517;
6;0.09449;0.69246;0.94719;-0.25053;0.63406;2567;
7;0.38594;0.83485;0.97380;-0.07669;-0.40613;122;
8;0.42094;0.24018;0.29893;0.74499;0.65078;2045;
9;-0.17033;0.66611;0.88906;-0.25336;0.93616;1895;
10;0.45044;0.04956;0.14932;-0.03144;0.18308;1717;
11;0.16108;0.27080;-0.82708;0.25185;-0.62818;85;
12;-0.57771;0.83138;-0.83631;-0.56059;-0.66188;80;
13;0.12012;0.22107;-0.76296;0.03937;0.24699;85;
14;-0.26727;0.40805;0.70616;-0.34668;0.82953;3667;
15;-0.41449;-0.34204;0.01823;-0.42692;0.37065;85;
16;-0.21304;0.02958;0.84492;0.02463;0.08563;837;
17;0.51671;-0.11429;-0.07096;0.72774;-0.55592;72;
18;-0.24990;0.45084;0.73640;-0.24680;0.87156;2367;
19;0.15085;-0.33399;-0.07021;-0.01474;0.51827;65;
20;0.47082;0.14847;0.24914;0.82668;0.62671;702;
21;0.47082;0.20847;0.23914;0.62668;0.62671;2100;
22;-0.22576;0.63257;0.84762;-0.27151;0.84575;2555;
23;-0.28645;0.46592;-0.14959;0.09514;-0.40583;92;
24;0.49200;-0.12868;0.20879;0.01969;0.59562;132;
25;0.46460;0.02131;0.18749;-0.02368;0.07798;980;
